Title,Processed_Text,Topic
Artificial Intelligence Convergence Teaching Expertise Scale for  Pre-service Teachers in Korea: A Validity and Reliability Study,artificial intelligence convergence teaching expertise scale preservice teachers korea validity reliability study,-1
Generative AI-Powered Synthetic Data for Enhancing Predictive Analytics in Blood Donation Supply Management: A Comparative Study of Machine Learning Models,generative aipowered synthetic data enhancing predictive analytics blood donation supply management comparative study machine learning models,0
Experimental Investigation of Zigzag Height Variation on the Concave Blade Surface and Its Impact on Savonius Rotor Performance,experimental investigation zigzag height variation concave blade surface impact savonius rotor performance,-1
Machine Learning-Driven Insights for Optimizing Ship Fuel Consumption: Predictive Modeling and Operational Efficiency,machine learningdriven insights optimizing ship fuel consumption predictive modeling operational efficiency,0
Evaluating Machine Learning Models for Optimal Livestock Environment Prediction in Smart Farming Applications to Enhance Food Security,evaluating machine learning models optimal livestock environment prediction smart farming applications enhance food security,0
Machine Learning Classifies Data for Early Warning of Stuck Pipe Detection in Geothermal Drilling,machine learning classifies data early warning stuck pipe detection geothermal drilling,0
Evaluating Machine Learning and Deep Learning Algorithms for Predictive Maintenance of Hydraulic Systems,evaluating machine learning deep learning algorithms predictive maintenance hydraulic systems,0
Human Detection System Using Machine Learning to Calculate Crowd Potential,human detection system using machine learning calculate crowd potential,0
Realistic Mathematics Education in Digital Era Elementary Schools: A Systematic Literature Review,realistic mathematics education digital era elementary schools systematic literature review,-1
Computational Investigation on the Fatigue Behavior of Titanium Alloy Ti-6Al-2Sn-4Zr-2Mo under Dynamic Loads by Consideration of Ambient Temperature,computational investigation fatigue behavior titanium alloy tialsnzrmo dynamic loads consideration ambient temperature,-1
Performance of Paving Block Using Geopolymer Method with Slag and Fly Ash: A Review,performance paving block using geopolymer method slag fly ash review,0
"Mercury Exposure Impact to The Environment and Community Health from Artisanal and Small-Scale Gold Mining in North Musi Rawas District, South Sumatra Province, Indonesia",mercury exposure impact environment community health artisanal smallscale gold mining north musi rawas district south sumatra province indonesia,1
Thermal Comfort Quality Monitoring and Controlling using Fuzzy Inference System Based on IoT Technology,thermal comfort quality monitoring controlling using fuzzy inference system based iot technology,0
Optimization of Lubricant Oil Filling and Packaging Lines: A Simulation-Based Automation Approach,optimization lubricant oil filling packaging lines simulationbased automation approach,0
The Role of Aviation Transport Infrastructure in the Air Freight Logistics Service Chain: A Case Study in Vietnam,role aviation transport infrastructure air freight logistics service chain case study vietnam,0
Enhancing Eco-Friendly Textile Dyeing: Comparative Analysis of Ethanol Maceration and Boiling Extraction with Lime Mordanting on Cellulose-Based Fabrics,enhancing ecofriendly textile dyeing comparative analysis ethanol maceration boiling extraction lime mordanting cellulosebased fabrics,1
Soil Permeability Tank Testing on Landslide Early Warning System,soil permeability tank testing landslide early warning system,0
"Evaluating the Physicochemical and Structural Properties of Collagen from Lizardfish (Saurida tumbil Bloch, 1795) Skin Prepared with the Optimal Enzymatic Process: in Comparison with Recent Studies",evaluating physicochemical structural properties collagen lizardfish saurida tumbil bloch skin prepared optimal enzymatic process comparison recent studies,1
Cocoa Bean Shells: A Potential Chocolate Replacement in Food Production,cocoa bean shells potential chocolate replacement food production,1
Comparison of Antibacterial Properties of Magnesium Oxide and Copper Oxide Nanopowders: Green Synthesis Approach,comparison antibacterial properties magnesium oxide copper oxide nanopowders green synthesis approach,1
Identification of Essential Oil Components from Rose Flower with High Pulsed Electric Field (HPEF) Treatment using Water Distillation Method,identification essential oil components rose flower high pulsed electric field hpef treatment using water distillation method,1
Potential of Non-Standard Coconut as a Raw Material for Bioenergy Production,potential nonstandard coconut raw material bioenergy production,1
"Shipment Size Analysis on Cross-Border Freight Transportation Using Stereotype Logistic Regression: Case Study Between West Kalimantan, Indonesia and Sarawak, Malaysia",shipment size analysis crossborder freight transportation using stereotype logistic regression case study west kalimantan indonesia sarawak malaysia,-1
Comparing Some Adjacency Matrices to Estimate a Spatial Negative Binomial Regression Model,comparing adjacency matrices estimate spatial negative binomial regression model,0
Evaluation of Damage Assessment of the High-Rise Building with Brace,evaluation damage assessment highrise building brace,-1
Hydrodynamics Analysis of Sanur Port Construction on the Sanur Beach Area,hydrodynamics analysis sanur port construction sanur beach area,-1
"Nannofossil Diversity and Climate Change of Rembang Zone, North East Java Basin",nannofossil diversity climate change rembang zone north east java basin,-1
"Productivity and Technical Efficiency of Organic Rice Farming in Camarines Sur, Philippines",productivity technical efficiency organic rice farming camarines sur philippines,1
A Structural Equation Model to Assess the Impact of the Economic and Environmental Benefits to the Indonesian Sustainable Palm Oil (ISPO) Adoption,structural equation model assess impact economic environmental benefits indonesian sustainable palm oil ispo adoption,-1
Morpho Genetic Variability and Anthocyanine (Cyanidin-3-O-Glucoside) Concent of Indonesia Roselle (Hibiscus sabdariffa L.),morpho genetic variability anthocyanine cyanidinoglucoside concent indonesia roselle hibiscus sabdariffa l,1
"Macroalgae-Based Bio-Based Packaging: Characteristics, Green Extraction Methods, and Applications as Sustainable Solutions",macroalgaebased biobased packaging characteristics green extraction methods applications sustainable solutions,1
Modulation of Oxidative Stress Markers and Inflammatory Mediators in Alveolar Damage Induced by Anaerobic Exercise,modulation oxidative stress markers inflammatory mediators alveolar damage induced anaerobic exercise,1
An Efficient Lung Disease Classification from X-ray Image Using Graph Neural Network and Transformer,efficient lung disease classification xray image using graph neural network transformer,0
Leaf Disease Detection in Plant Care using CNN Architecture: AlexNet and ResNet-50 Models,leaf disease detection plant care using cnn architecture alexnet resnet models,0
Multivariate Variable-Based LSTM-AE Model for Solar Power Prediction,multivariate variablebased lstmae model solar power prediction,0
Analysis of Factors Affecting Spectrum Sensing in an IRS based Wireless Network,analysis factors affecting spectrum sensing irs based wireless network,-1
Implementing Computer Vision and Biometrics into User Authentication,implementing computer vision biometrics user authentication,-1
Phishing Domain Detection Using Machine Learning Algorithms,phishing domain detection using machine learning algorithms,0
Establishment of a Real-Time Risk Assessment and Preventive Safety Management System in Industrial Environments Utilizing Multimodal Data and Advanced Deep Reinforcement Learning Techniques,establishment realtime risk assessment preventive safety management system industrial environments utilizing multimodal data advanced deep reinforcement learning techniques,0
Innovations and Adoption: Examining the Constructs of Technology Acceptance Theories,innovations adoption examining constructs technology acceptance theories,-1
Rainfall Prediction Using Statistical Downscaling Based on Support Vector Machine in Selangor,rainfall prediction using statistical downscaling based support vector machine selangor,0
IJASEIT,ijaseit,-1
Scopus Citescore,scopus citescore,-1
Scimago Journal Rank,scimago journal rank,-1
The Map Authors,map authors,-1
Keywords,keywords,0
